10	0.000000	29.jpg
8	0.000000	15.jpg
24	0.000000	18.jpg
27	0.000000	4.jpg
30	0.000000	6.jpg
20	0.000000	7.jpg
17	0.000000	20.jpg
21	0.000000	36.jpg
28	0.000000	19.jpg
0	0.000000	23.jpg
15	0.000000	3.jpg
18	0.000000	33.jpg
29	0.000000	9.jpg
25	0.000000	13.jpg
26	0.000000	27.jpg
4	0.000000	12.jpg
14	0.000000	25.jpg
31	0.000000	5.jpg
11	0.000000	2.jpg
35	0.000000	26.jpg
12	0.000000	35.jpg
1	0.000000	8.jpg
7	0.000000	10.jpg
9	0.000000	34.jpg
19	0.000000	17.jpg
13	0.000000	24.jpg
3	0.000000	32.jpg
6	0.000000	14.jpg
33	0.000000	21.jpg
16	0.000000	16.jpg
23	0.000000	31.jpg
5	0.000000	30.jpg
22	0.000000	22.jpg
2	0.000000	28.jpg
34	0.000000	1.jpg
32	0.000000	11.jpg
